index,post_id,post,CoHARE_im_batch4_grad8,CoHARE_im_batch4_grad8_pred,CTI_im_batch4_grad8,CTI_im_batch4_grad8_pred,C_im_batch4_grad8,C_im_batch4_grad8_pred,target,implied_statement
22,22,: 13 ( worst ) companies who support israels policies for white america july 23rd ! ! be there ! ! ...,Miss,"(B) Not hate. 1.The post mentions ""13 (worst) companies who support Israel's policies for white America."" This suggests that the post is referring to companies that support policies that favor white America. 2. The post then encourages people to be present on that day. Based on this analysis, the post does not appear to be hate speech. It is expressing a negative opinion about companies that support policies that favor white America. However, it does not contain any explicit or direct expressions of hatred or discrimination towards a specific group of people.",O,(A) Hate.,O,(A) Hate.,,
115,115,blame the white man . gets tiresome .,Miss,"(B) Not hate. 1.The post states ""blame the white man."" This statement suggests that the person believes white people are being unfairly blamed for something. 2. The post also states ""gets tiresome."" This implies that the person finds the idea of blaming white people tiresome. Based on this analysis, the post does not appear to be hate speech. It expresses frustration or frustration towards blaming white people, but it does not target or demean any specific group based on their race.",O,(A) Hate.,O,(A) Hate.,minorities,Minorities blame others for their problems
124,124,why ? because they're hostile to white america and they recognize the gop is implicitly the white party . not rocket science .,Miss,"(B) Not hate. 1.The post starts by asking a question, ""why?"" which suggests that the post is going to discuss a specific topic or issue. 2. The post then states that the group being discussed is hostile to white America. This could be seen as a negative generalization about the group, suggesting that they are hostile towards white people. 3. The post then mentions that the GOP is implicitly the white party. This statement implies that the group being discussed recognizes the GOP as a white party. 4. Finally, the post concludes by stating that this is not rocket science. Based on this analysis, the post does not appear to be hate speech. It expresses a negative opinion about the GOP and their perceived hostility towards white people. However, it does not contain any explicit or direct expressions of hatred or discrimination towards any specific group.",O,(A) Hate.,O,(A) Hate.,non-white people,non-white people are aggressive
129,129," so are all white americans going to be called  "" borderers "" "" now ? """,Miss,"(B) Not hate. 1.The post is questioning whether all white Americans will be called ""borderers"" now. 2. The post does not contain any explicit derogatory language or offensive slurs. 3. The post does not target or discriminate against any specific group based on their race or ethnicity. 4. The post does not incite violence or promote harm towards any group. Based on these steps, the post does not appear to be hate speech.",O,(A) Hate.,O,(A) Hate.,progressives,Progressives mischaracterize whites
133,133,german gangs are beating up immigrants after syrian refugees sexually assault ...,Miss,"(B) Not hate. 1.The post mentions ""german gangs"" beating up immigrants. This is a factual statement about a specific group of people. 2. The post also mentions ""syrian refugees sexually assault."" This is a serious allegation that suggests a pattern of sexual assault by Syrian refugees. Based on this analysis, the post does not appear to be hate speech. It is reporting on a specific incident and highlighting a potential pattern of violence.",O,(A) Hate.,O,(A) Hate.,refugees,Refugees rape whites
136,136,collapse of the counter-jihad left continues : sam harris says trumps muslim ban is a terrible policyunethical,Miss,"(A) Hate. 1.The post mentions the ""collapse of the counter-jihad left,"" which implies that there is a group or movement that is actively working against jihad. This targets Muslims by suggesting that they are the cause of the perceived decline of the left. 2. The post mentions ""Sam Harris,"" who is a prominent Muslim scholar and commentator. By mentioning him, it suggests that he is a prominent figure in the Muslim community. 3. The post states that ""Trump's Muslim ban is a terrible policy unethical."" This implies that Muslims are a threat to society and that their presence is a negative thing. This further targets Muslims by suggesting that they are a threat to society and that their presence is undesirable. Overall, the post targets Muslims by portraying them as a threat to society and implies that they are a negative influence on society. This can be considered offensive as it promotes stereotypes and discriminates against a specific religious group. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
145,145,question : is it possible that the term islamaphobia is sharia law of slander in disguise ?,Miss,"(A) Hate. 1.The post asks if the term ""islamaphobia"" is actually a ""sharia law of slander in disguise."" This implies that the term ""islamaphobia"" is being used as a disguise for a law that is deemed as a threat or a law of slander. 2. By linking the term ""islamaphobia"" to sharia law, the post suggests that the term is being used as a disguise for a law that is deemed as a threat or a law of slander. 3. The post further implies that the term ""islamaphobia"" is a form of slander, suggesting that it is being used as a disguise to criticize or criticize Islam. 4. The post targets Muslims by suggesting that they are slanderous and that the term ""islamaphobia"" is being used as a disguise for a law that is deemed slanderous. This implies that Muslims are liars, as it suggests that the term ""islamaphobia"" is being used as a disguise for a law that is deemed slanderous. Overall, the post is offensive because it targets Muslims by associating them with a law that is deemed slanderous and implies that they are liars. It promotes negative stereotypes and perpetuates discrimination against Muslims. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
154,154,they can openly call for killing cops and white people . any,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,minorities,Minorities advocate for the deaths of whites.
185,185,liverpool jews very unhappy about upcoming white man march va,Miss,"(B) Not hate. 1.The post mentions ""Liverpool Jews"" and their unhappiness about an upcoming ""white man march."" 2. It does not provide any context or explanation for why the Jews are unhappy about the march. 3. It does not contain any explicit derogatory language or slurs. 4. However, it does mention a specific group of people, which could potentially be seen as promoting discrimination or prejudice. Based on these steps, the post does not appear to be hate speech. It may be promoting a negative sentiment towards the Jews, but it does not contain explicit hate speech or promote discrimination or prejudice.",O,(A) Hate.,O,(A) Hate.,jews,Jews are anti-white
192,192,more rapes committed by white males,Miss,"(B) Not hate. 1.The post states a fact about the number of rapes committed by white males. 2. It does not contain any derogatory language or slurs. 3. It does not incite violence or promote discrimination. 4. It does not target or demean any specific group based on their race or gender. Based on these steps, the post does not appear to be hate speech. It is simply reporting on a specific issue.",O,(A) Hate.,O,(A) Hate.,white men,White men are racists.
193,193,: it is in white people's interest to support iran and syria's war against isis and globalist-semitism ( israel,Miss,"(B) Not hate. 1.The post mentions supporting Iran and Syria's war against ISIS and globalist-Semitism. 2. It does not explicitly target or attack any specific group of people based on their race, religion, ethnicity, or other protected characteristics. 3. However, it does mention ISIS and globalist-Semitism, which could be seen as promoting or glorifying a negative ideology. 4. The post does not provide any context or evidence to support these claims. Based on these steps, the post does not appear to be hate speech. It expresses a viewpoint on supporting certain countries in a war against ISIS and globalist-Semitism, but it does not contain any explicit or direct hate speech towards any specific group.",O,(A) Hate.,O,(A) Hate.,jews,Jews want to dominate the world.
195,195,and because of this  white americans are losing their home and country .,Miss,"(B) Not hate. 1.The post mentions ""white Americans"" losing their home and country. 2. It does not explicitly mention any specific group or individual. 3. However, it does mention ""white Americans"" and implies that they are losing their home and country. Based on this analysis, the post does not appear to be hate speech. It may express a negative opinion about white Americans losing their home and country, but it does not contain any explicit or direct hate speech towards any specific group.",O,(A) Hate.,O,(A) Hate.,minorities,Minorities are pushing out whites
217,217,where is the proof that asking for an id at the voting booth harms blacks ?,Miss,"(A) Hate. 1.The post specifically mentions ""blacks"" and asks for proof that asking for an ID at the voting booth harms them. This targets black people by singling them out and implying that they are being unfairly targeted or discriminated against. 2. The post implies that black people are being unfairly targeted or discriminated against by asking for an ID at the voting booth. This perpetuates harmful stereotypes and promotes a negative view of black people. 3. The post also implies that black people are being unfairly targeted or discriminated against by stating that there is no evidence to support the idea that asking for an ID at the voting booth harms them. This generalization is offensive as it unfairly targets and stereotypes an entire racial group based on the actions of a few individuals. Overall, the post is offensive because it targets black people, promotes negative stereotypes, and implies that they are being unfairly targeted or discriminated against. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
238,238,careful don't feed the tribesman,Miss,"(B) Not hate. 1.Identify the content: The post is a statement about not feeding the tribesman. 2. Analyze the context: Without any additional context, it is difficult to determine the intent or meaning behind the statement. 3. Evaluate the language used: The language used in the post is not explicitly hateful or derogatory towards any specific group. 4. Consider the impact: The post does not directly target or demean any specific group. Based on the given information, the post does not appear to be hate speech. It is a statement about not feeding the tribesman.",O,(A) Hate.,O,(A) Hate.,immigrants,Immigrants are primitive tribesmen
306,306,: rt : jihad attack in jerusalem : as the savage jihad against israel heats up again . initial report ( cont ) h ...,Miss,"(B) Not hate. 1.The post mentions a ""jihad attack in Jerusalem"" which refers to a violent and extremist act carried out by Muslims. 2. It states that this attack is happening as the ""savage jihad against Israel"" is heating up again. 3. It includes a link to an initial report, which suggests that there is more information or information about the situation. Based on this analysis, the post does not appear to be hate speech. It is reporting on a violent and extremist event, but it does not contain any explicit or implicit expressions of hatred or discrimination towards a specific group.",O,(A) Hate.,O,(A) Hate.,muslims,Muslims kill jews
335,335,i am not big on mexican food . i like gourmet enchiladas  though,Miss,"(A) Hate. 1.The post states that the person is not big on Mexican food. This implies that they have a negative bias or dislike towards Mexican food. 2. The post then mentions that the person prefers gourmet enchiladas, which is a reference to a specific type of Mexican food. This implies that the person prefers Mexican food over other types of food. 3. The post does not provide any context or explanation for why the person prefers Mexican food over other types of food. Based on this analysis, the post can be considered as expressing a negative bias towards Mexican food, but it does not directly target or attack any specific group of people. Therefore, it can be categorized as hate speech.",O,(B) Not hate.,O,(B) Not hate.,,
357,357,saturday night live celebrates the end of the white race | daily stormer,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,white people,White people are dying out.
364,364,unarmed white man murdered by police in tx . where was his white privilege ?,Miss,"(B) Not hate. 1.The post mentions an incident where an unarmed white man was murdered by the police in Texas. 2. It questions the existence of white privilege. Based on this analysis, the post does not appear to be hate speech. It raises a question about the existence of white privilege and raises a question about the lack of it.",O,(A) Hate.,O,(A) Hate.,minorities,Minorities accuse whites falsely
379,379,the anti-white state of the union via,Miss,"(A) Hate. 1.The post specifically mentions ""the anti-white state of the union,"" implying that there is a state or society that is against white people. This targets white people by suggesting that they are being oppressed or marginalized. 2. The use of the term ""anti-white"" suggests that there is a deliberate effort to discriminate against white people. This implies that white people are being oppressed or marginalized. 3. The post further implies that this perceived bias towards white people is a result of the presence of minorities. This implies that minorities are responsible for or supportive of this perceived bias against white people. Overall, the post is offensive because it targets minorities by portraying them as being against white people and implies that they are responsible for promoting discrimination against white people. It promotes a negative stereotype and perpetuates division between different racial groups. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
383,383," you are ok with amalgamation of african people into  "" black "" ""  all we're doing is the same thing to become "" "" white "" "" """,Miss,"(B) Not hate. 1.The post mentions the amalgamation of African people into ""black"" and suggests that all the people are doing is the same thing to become ""white."" 2. The post does not directly attack or demean any specific group of people based on their race or ethnicity. 3. However, it does make a generalization about the intentions and actions of the person posting, suggesting that they are all the same. 4. The post does not provide any evidence or context to support this claim. Based on these steps, the post can be considered as expressing a negative opinion about the intentions and actions of the person posting it. However, it does not directly attack or demean any specific group of people. Therefore, it can be categorized as a form of racial criticism rather than hate speech.",O,(A) Hate.,O,(A) Hate.,minorities,Minorities are inferior races
390,390," rt . had write its #nj marriage statement.you know  the guy who admits he wants to jail /  "" export "" "" gays """,Miss,"(A) Hate. 1.The post mentions the ""#nj marriage statement,"" which implies that it is referring to a specific statement or statement made by someone or a group of people. 2. The post then mentions that this statement was written by someone who admits to wanting to jail or export gays. This implies that the person being referred to is advocating for the deportation of gays. 3. The post concludes by stating that the person being referred to is gays. This implies that being gay is a negative or undesirable trait. Overall, the post targets gays by suggesting that they are undesirable and should be deported. This can be considered offensive as it promotes discrimination and prejudice against a specific group based on their sexual orientation. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
402,402,a lot of white folk are on welfare too . reason y public puts a black face on welfare is bc politicians race-bait eg williehorton,Miss,"(A) Hate. 1.The post starts by stating that ""a lot of white folk are on welfare too."" This implies that white people are also on welfare, which is a generalization and stereotype. 2. The post then goes on to say that the reason the public puts a black face on welfare is because politicians use race-bait tactics, specifically mentioning William Hilton. This implies that politicians are intentionally using race-baiting tactics to manipulate the public. 3. The post concludes by stating that the reason the public puts a black face on welfare is because politicians use race-bait tactics, specifically mentioning William Hilton. This implies that the public is intentionally using race-baiting tactics to manipulate the public and manipulate the public. Overall, the post targets black people by suggesting that they are being unfairly targeted and manipulated by politicians. This can be considered offensive as it perpetuates negative stereotypes and promotes a divisive and discriminatory view of a racial group. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
430,430,heartiste disparages white women and encourages predatory  abusive practices . if you're anti woman  you're anti white .,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,conservatives,Conservatives are bigots.
438,438," opposing jihad terror is opposing people who on average have darker skin than white people  so it's  "" racist "" "" . """,Miss,"(B) Not hate. 1.The post mentions opposing jihad terror, which refers to a specific form of extremism. 2. It states that opposing jihad terror is opposing people who have darker skin than white people. 3. It suggests that opposing jihad terror is considered racist because people with darker skin have darker skin than white people. Based on this analysis, the post does not appear to be hate speech. It is expressing an opinion about the perception of opposing jihad terror as racist.",O,(A) Hate.,O,(A) Hate.,muslims,Opposing Muslims is racism
457,457,: we are thrilled to announce our very own is taking home americas ...,Miss,"(A) Hate. 1.The post mentions ""our very own"" which implies that the post is referring to a specific group of people. 2. The post mentions ""taking home Americas,"" which implies that the post is referring to immigrants who are not native to the country. 3. The post does not provide any context or explanation for why the ""very own"" is taking home Americas. 4. The post does not provide any specific details or context about the ""very own"" or the reasons behind their departure. Based on these steps, the post can be considered offensive as it targets immigrants and implies that they are not welcome in the country. It promotes a discriminatory and exclusionary view towards immigrants, which can be harmful and offensive to immigrants. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
461,461,' jews of color ' denounce white-presenting jews for saying jews aren't white via,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,jews,Jews aren't white.
503,503,border arrests jump for 2nd year as traffic increases #noamnesty,Miss,"(A) Hate. 1.The post mentions ""border arrests jump for 2nd year as traffic increases."" This implies that there is an increase in traffic at the border, which is a negative thing. 2. The hashtag #noamnesty further reinforces the negative view towards immigrants, suggesting that they are not deserving of amnesty or any form of leniency. 3. The post targets immigrants by highlighting the increase in traffic and suggesting that it is a result of the increase in traffic. This implies that immigrants are a burden on society and should be deported. Overall, the post is offensive because it targets immigrants and implies that they are a burden on society. It promotes negative stereotypes and discrimination against immigrants, which is discriminatory and harmful. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
505,505,im a proud black man that worships europe  white people and white women ...,Miss,"(B) Not hate. 1.The post states that the person is a proud black man who worships Europe, white people, and white women. 2. It does not contain any derogatory language or offensive slurs targeting a specific race or group. 3. It does not promote violence or discrimination against any race or group. 4. It does not incite hatred or violence towards any race or group. Based on these steps, the post does not appear to be hate speech.",O,(A) Hate.,O,(A) Hate.,blacks,Blacks need whites to lead them
508,508,while the demonstrator was allowed to assault us with his pasty white legs .,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,white people,White people are coddled
537,537," rt : #myjihad iranian jew murdered  investigators tell suspect :  "" if you were involved in killing a jew  you did a good deed ... """,Miss,(B) Not hate.,O,(A) Hate.,O,(A) Hate.,jews,Jews are enemies
539,539,white supremacists claim to be the master race while also claiming that jews control everything  blacks,Miss,"(A) Hate. 1.The post mentions ""white supremacists"" claiming to be the master race. This implies that white supremacists believe they are superior to other races. 2. The post also mentions ""Jews control everything blacks."" This statement suggests that Jews have a disproportionate amount of control over black people. 3. By combining these two statements, the post implies that white supremacists are promoting a conspiracy theory that white people are in control of everything. This post can be considered offensive because it perpetuates harmful stereotypes and promotes a negative and discriminatory view of Jews. It also implies that Jews have a hidden agenda to control everything black people, which is a harmful and baseless conspiracy theory. Therefore, if you must choose one between (A) Hate and (B) Not hate, the answer is",O,(B) Not hate.,O,(B) Not hate.,,
